CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
311001092788,PREK,2.4000000000000004,8,002501,0.30000000000000004,2021-02-15,2021-03-05
311001033633,PREK,17.6,21,008403,0.8380952380952381,2021-02-15,2021-03-05
311001110131,PREK,3.8000000000000003,14,001111,0.27142857142857146,2021-02-15,2021-03-05
311001092141,PREK,4.6000000000000005,33,001305,0.1393939393939394,2021-02-15,2021-03-05
311001041334,PREK,4.4,21,008506,0.20952380952380953,2021-02-15,2021-03-05
311001077525,PREK,5,9,004533,0.5555555555555556,2021-02-15,2021-03-05
311001091081,PREK,6,10,002420,0.6,2021-02-15,2021-03-05
311001092214,PREK,5.4,34,005675,0.15882352941176472,2021-02-15,2021-03-05
311001005681,PREK,1.8,42,004508,0.04285714285714286,2021-02-15,2021-03-05
311001076588,PREK,1.8,40,002407,0.045,2021-02-15,2021-03-05
311848004311,PREK,2.6,27,008526,0.0962962962962963,2021-02-15,2021-03-05
311265001110,PREK,4.2,48,005647,0.08750000000000001,2021-02-15,2021-03-05
311001098450,PREK,1,15,006312,0.06666666666666667,2021-02-15,2021-03-05
311001041423,PREK,16.2,17,004108,0.9529411764705882,2021-02-15,2021-03-05
311001090416,PREK,2.6,11,009203,0.23636363636363636,2021-02-15,2021-03-05
311001030391,PREK,1.8,8,004509,0.225,2021-02-15,2021-03-05
311265000954,PREK,4,24,005615,0.16666666666666666,2021-02-15,2021-03-05
